CouncilArea,scale1,scale2,translate1,translate2
,3.72172E-06,2.99895E-06,144.4440772,-38.24315838
Banyule City Council,3.7217E-06,2.99892E-06,145.0278295,-37.78509242
Bayside City Council,3.72166E-06,2.99894E-06,144.9800345,-37.99647477
Boroondara City Council,3.72164E-06,2.99891E-06,144.9992634,-37.87599823
Brimbank City Council,3.72169E-06,2.99893E-06,144.7441761,-37.82280399
Casey City Council,3.72172E-06,2.99894E-06,145.2148283,-38.24315838
Darebin City Council,3.7217E-06,2.99892E-06,144.9703425,-37.78564468
Frankston City Council,3.72168E-06,2.99892E-06,145.0980303,-38.20065214
Glen Eira City Council,3.7217E-06,2.99893E-06,144.996745,-37.93875232
Greater Dandenong City Council,3.72168E-06,2.99894E-06,145.1296578,-38.077663
Hobsons Bay City Council,3.72172E-06,2.99893E-06,144.7514328,-37.9000551
Hume City Council,3.72169E-06,2.99893E-06,144.6324815,-37.71241332
Kingston City Council,3.72173E-06,2.99894E-06,145.0344011,-38.08509505
Knox City Council,3.72172E-06,2.99892E-06,145.1908628,-37.96397599
Manningham City Council,3.7217E-06,2.99892E-06,145.0674483,-37.81177995
Maribyrnong City Council,3.72164E-06,2.99888E-06,144.8391575,-37.82695522
Maroondah City Council,3.72167E-06,2.99885E-06,145.2133285,-37.84391761
Melbourne City Council,3.72172E-06,2.99884E-06,144.8969813,-37.85066738
Melton City Council,3.7217E-06,2.99894E-06,144.4776776,-37.81041876
Monash City Council,3.72166E-06,2.99894E-06,145.0742074,-37.9400878
Moonee Valley City Council,3.72165E-06,2.99891E-06,144.8461252,-37.78966222
Moreland City Council,3.72171E-06,2.99893E-06,144.8862264,-37.78007302
Nillumbik Shire Council,3.72169E-06,2.99893E-06,145.0678388,-37.74179923
Port Phillip City Council,3.72162E-06,2.99886E-06,144.9124679,-37.8917367
Stonnington City Council,3.72162E-06,2.99881E-06,144.9833215,-37.89297633
Whitehorse City Council,3.72163E-06,2.99894E-06,145.095111,-37.8652042
Whittlesea City Council,3.72169E-06,2.99895E-06,144.9464606,-37.69998708
Wyndham City Council,3.72171E-06,2.99894E-06,144.4440772,-38.00638581
Yarra City Council,3.72166E-06,2.99886E-06,144.9614728,-37.83452256
